"x","y","min.cover","max.cover","mean.cover","count"
6027611.57089185,4554740.4450505,3,99,30.125,8
6032083.36595048,4553023.70596694,8,91,35.5714285714286,7
6027698.4420262,4497260.71115631,3,86,26.5,8
6012988.26327643,4502357.15103811,2,86,24.5714285714286,7
6018316.35951651,4509770.15450255,1,82,20,7
6017284.43573879,4509728.03516469,1,91,33.6363636363636,11
6017775.82801389,4509075.18542776,1,100,32.7777777777778,9
6017158.07772519,4509538.49814429,1,90,31.2857142857143,7
6016897.46432214,4509277.88474124,2,99,32,8
6016424.49925735,4508689.09149732,4,93,39.8333333333333,6
6015536.48321734,4508380.21635297,3,93,29.4285714285714,7
6001590.77044985,4508472.87889628,2,92,32.6,5
6002265.88326536,4515098.25074262,4,91,35.8571428571429,7
5992092.85976103,4504071.40808927,8,81,29.4,5
5974764.96416288,4506526.96548686,1,87,18.1428571428571,7
5987004.14175783,4516758.45464351,2,96,32.8333333333333,6
5986811.09479261,4516951.50160873,1,81,28.6,5
5986154.73511086,4518071.174007,1,81,29.3333333333333,6
5983075.6360156,4520629.04629617,1,99,34.5,8
5983243.58687534,4520935.99097087,20,87,43.4,5
723924.722222222,4480393.05555556,2,100,78.287037037037,108
723513.409090909,4480601.59090909,4,100,79.6477272727273,88
723879.090909091,4480020.45454545,2,100,81.9015151515152,132
724169.090909091,4479498.78787879,2,100,75.4545454545455,99
723986.666666667,4479484.44444444,2,100,80.4740740740741,135
723796.139240506,4479196.32911392,2,100,82.9683544303797,158
723669.545454545,4479488.86363636,4,100,81.0757575757576,132
724068.75,4480762.875,2,100,78.3,80
723037.325581395,4481054.30232558,2,100,75.546511627907,86
720616.901408451,4480613.23943662,4,100,79.4084507042254,71
723444.590163934,4479168.93442623,3,100,81.5327868852459,122
727029.545454545,4479889.09090909,5,100,62.6818181818182,22
724917.272727273,4481030.18181818,2,100,72.7636363636364,55
726268.333333333,4479271.66666667,2,100,66.7444444444444,90
725544.905660377,4479210.56603774,3,100,71.0188679245283,53
725877.407407407,4479267.77777778,2,100,74.320987654321,81
726048.818181818,4478953.90909091,3,100,78.8909090909091,110
725444.375,4478704.375,2,100,68.2291666666667,48
725317.974683544,4478887.59493671,2,100,76.0759493670886,79
723354.782608696,4478406.52173913,14,100,64.0434782608696,23
723604,4479750,6,100,77.6833333333333,60
726347.472527473,4479389.34065934,4,100,75.9120879120879,91
726397.340425532,4479947.23404255,2,100,77.1595744680851,94
726493.483146067,4479756.40449438,2,100,76.5280898876404,89
726989.433962264,4479982.64150943,2,100,73.377358490566,53
726207.272727273,4479760.90909091,3,100,73.3636363636364,55
724369.872611465,4478740.89171975,3,100,82.3757961783439,157
726747.338709677,4480143.87096774,2,100,80.741935483871,124
719647.590361446,4479819.75903614,2,100,76.9397590361446,83
719229.075630252,4480366.8907563,4,100,78.8571428571429,119
718911.176470588,4480517.64705882,2,100,74.0196078431373,51
718665.925925926,4480622.59259259,4,100,80.2222222222222,81
719323.555555556,4480602,4,100,78.762962962963,135
718918.811881188,4480781.88118812,2,100,77.5940594059406,101
718913.7,4480947.3,3,100,70.81,100
719370.582524272,4480959.61165049,2,100,82.7766990291262,103
719374.714285714,4480778.57142857,4,100,72.9857142857143,70
719285.641025641,4481215.8974359,2,100,80.1538461538462,117
719697.450980392,4481236.2745098,3,100,89.1111111111111,153
723960,4480935,2,100,70.6578947368421,38
724135.135135135,4480932.97297297,3,100,56.0540540540541,37
725554.444444444,4480858.88888889,3,100,57.1111111111111,27
725736.470588235,4480621.17647059,4,100,79.1470588235294,102
720458.955223881,4479435.2238806,2,100,80.8059701492537,134
720499.14893617,4479669.57446809,2,100,69.4893617021277,47
720714.666666667,4479568.66666667,2,100,66.6888888888889,45
721442.222222222,4479315.27777778,2,100,78.5648148148148,108
722116.764705882,4479288.52941176,5,100,66.4411764705882,34
721930.909090909,4479334.09090909,12,100,71.1818181818182,22
722069.538461538,4479452.30769231,2,100,72.4,65
722664.953271028,4479060.8411215,6,100,80.0934579439252,107
723351.071428571,4479440.35714286,2,100,78.8690476190476,84
723563.043478261,4479978.69565217,2,100,76.9565217391304,69
723921,4479804.85714286,2,100,75.5428571428571,70
723210,4480593.46153846,2,100,54.9615384615385,26
723588.75,4480368.375,2,100,77.2375,80
723783.68852459,4480706.31147541,4,100,81.6967213114754,122
723329.4,4480287.3,2,100,77.18,100
724157.710843373,4480117.22891566,2,100,76.4096385542169,83
724400.977443609,4479907.89473684,2,100,81.8571428571429,133
724389.090909091,4479666.81818182,2,100,75.8181818181818,66
724620.722891566,4479708.79518072,3,100,77.9759036144578,83
724856.4,4480038.9,2,100,77.04,100
724930.423728814,4479832.37288136,2,100,81.0338983050847,118
725401.888111888,4479593.4965035,2,100,81.7342657342657,143
725179.25,4479495.25,2,100,78.5166666666667,120
724820.555555556,4479583.88888889,6,100,72.1666666666667,54
724895.555555556,4479440.37037037,8,100,79.8765432098765,81
724798.301886792,4479264.33962264,2,100,74.3018867924528,53
725011.071428571,4479293.57142857,3,100,70.5178571428571,56
724493.47826087,4479507.39130435,2,100,60.6086956521739,23
724575,4479435,4,100,56.1666666666667,12
723223.917525773,4478740.20618557,2,100,77.9484536082474,97
723818.620689655,4478974.13793103,2,100,74.4597701149425,87
724007.288135593,4478537.28813559,3,100,75.9830508474576,59
720027.079646018,4480112.1238938,2,100,81.9911504424779,113
720278.035714286,4480142.41071429,2,100,81.7767857142857,112
720767.142857143,4480065.85714286,2,100,70.1285714285714,70
721018.620689655,4479987.93103448,2,100,80.2873563218391,87
722256.923076923,4480767.69230769,3,100,66.0769230769231,39
722304.264705882,4480217.64705882,3,100,75.1617647058823,68
722334.642857143,4480444.28571429,6,100,75.7976190476191,84
722471.086956522,4480793.47826087,2,100,72.804347826087,46
721494,4480696,2,100,73.05,60
721854.315789474,4480504.73684211,3,100,79.1894736842105,95
721065.660377358,4480510.37735849,6,100,85.0062893081761,159
721013.129770992,4480731.29770992,3,100,80.3740458015267,131
720525,4480875,10,100,64.8,30
726089.302325581,4480422.55813953,4,100,66.6511627906977,43
725526.52173913,4478796.52173913,2,100,68.0652173913043,46
723146.61971831,4479276.33802817,2,100,69.7746478873239,71
722901.081081081,4479405.4054054,3,100,64.4054054054054,37
723041.388888889,4479148.05555556,2,100,79.3333333333333,108
719881.219512195,4480833.90243902,4,100,83.0406504065041,123
719858.846153846,4481000.76923077,2,100,77.9871794871795,78
719653.703703704,4480001.48148148,4,100,79.0617283950617,81
720050.425531915,4479799.78723404,4,100,79.2659574468085,94
720528.970588235,4479868.67647059,2,100,75.0441176470588,68
721571.57480315,4480867.08661417,3,100,81.0236220472441,127
722032.346938776,4480965,2,100,79.8979591836735,98
722294.142857143,4481055.85714286,3,100,74.7,70
723399.587628866,4480832.16494845,2,100,80.8969072164948,97
723165.454545455,4480800.90909091,3,100,75.0757575757576,66
720821.270718232,4480969.22651934,2,100,84.5469613259668,181
720137.205882353,4481733.08823529,3,100,66.8088235294118,68
719865.714285714,4481863.14285714,2,100,74.6952380952381,105
741330,4467387.93103448,2,100,76.0862068965517,58
748777.043478261,4478664.26086957,2,100,78.9130434782609,115
706980.714285714,4479062.85714286,5,100,69.3928571428571,84
706749.122807018,4479100.1754386,2,100,89.1812865497076,171
706464.6,4479115.2,6,100,85.4533333333333,150
700892.692307692,4479621.53846154,10,100,79.9230769230769,78
700620,4479671.78571429,3,100,81.3214285714286,84
702456.151685393,4479623.42696629,4,100,89.7275280898876,356
751509.723320158,4482136.71936759,3,100,85.0632411067194,253
751249.714285714,4482498,3,100,74.7142857142857,70
751989.310344828,4482984.31034483,4,100,75.1724137931034,58
714838.125,4482863.625,3,100,83.525,160
684675.476190476,4482262.85714286,2,100,79.8968253968254,126
715872.53164557,4483048.2278481,2,100,87.7763713080169,237
715495.606060606,4483128.33333333,2,100,84.6565656565657,198
754503.092783505,4484291.59793814,2,100,83.1907216494845,194
712914.596273292,4483259.62732919,2,100,85.0310559006211,161
712409.644970414,4484556.92307692,3,100,85.5384615384615,169
679189.285714286,4484010,4,100,49.5714285714286,14
678877.611940298,4484127.76119403,2,100,71.7611940298507,67
710792.079207921,4484990.64356436,6,100,88,202
708108.556701031,4486073.65979381,4,100,86.3144329896907,194
696015,4486035,20,100,87.7125,160
694784.018691589,4486153.73831776,4,100,79.0841121495327,107
674374.459459459,4485821.35135135,4,100,76.4864864864865,74
674145.967741936,4485922.74193548,2,100,77.0483870967742,62
752154.453781513,4488100.33613445,2,100,81.3865546218487,119
753759.456521739,4488466.30434783,2,100,79.8369565217391,92
752026.923076923,4488516.15384615,3,100,69.4615384615385,39
750825,4488477.35294118,5,100,76.4117647058823,68
751717.415730337,4488519.1011236,3,100,80.1573033707865,89
750203.47826087,4488565.10869565,2,100,77.945652173913,92
670624,4487324.4,2,100,79.68,75
712579.390243902,4490877.43902439,2,100,79.4756097560976,82
712529.096385542,4491218.13253012,2,100,86.0843373493976,166
730337.865168539,4492621.68539326,3,100,77.8314606741573,89
730244.318181818,4493777.04545455,2,100,82.7840909090909,88
730223.5,4494665.5,5,100,83.0166666666667,120
730627.441253264,4494511.09660574,2,100,90.3420365535248,383
730512.105263158,4495094.47368421,3,100,82.9122807017544,114
730197,4495664.30769231,2,100,87,130
730192.215189873,4496241.83544304,2,100,82.9746835443038,158
730191.379310345,4498504.48275862,2,100,75.8505747126437,87
730556.666666667,4499314.41441441,3,100,88.039039039039,333
730334.736842105,4500214.73684211,3,100,69.8771929824561,57
730472.5,4502101.97368421,2,100,85.8815789473684,228
730368,4502400.46153846,2,100,80.8307692307692,130
728340,4502749.65,2,100,85.38,200
728288.644067797,4503025.42372881,2,100,69.2542372881356,59
726475.445026178,4504887.17277487,2,100,85.7329842931937,191
725880.629370629,4505256.71328671,2,100,82.4195804195804,143
710148.586956522,4484980.43478261,7,100,91.3315217391304,184
